Johnson & Johnson Medical GmbH	Robert Koch Strasse 1, D 22851 Norderstedt, Germany	QSD5057		DE	英商壯生和壯生(香港)股份有限公司台灣分公司	Y	2015-12-03	
Anhui Easyway Medical Supplies Co., Ltd.	No.737 East Jianshe Road, Tianchang City, Anhui 239300, China	QSD7258	Hypodermic Single Lumen Needle	CN	杏昌生技股份有限公司	Y	2016-04-03	
Anhui Easyway Medical Supplies Co., Ltd.	No.737 East Jianshe Road, Tianchang City, Anhui 239300, China	QSD7258	Intravascular Administration Set等6項。	CN	杏昌生技股份有限公司	Y	2016-04-03	
Greatbatch Medical	2300 Bershire Lane North, Minneapolis, Minnesota, 55441 USA	QSD7259	Catheter Introducer	US	英商壯生和壯生(香港)股份有限公司台灣分公司	Y	2016-01-29	
Greatbatch Medical	2300 Bershire Lane North, Minneapolis, Minnesota, 55441 USA	QSD7259	Catheter Introducer	US	壯生醫療器材股份有限公司	Y	2016-01-29	
Greatbatch Medical	2300 Bershire Lane North, Minneapolis, Minnesota, 55441 USA	QSD7259	Transradial Access Kit	US	英商壯生和壯生(香港)股份有限公司台灣分公司	Y	2016-01-29	
Greatbatch Medical	2300 Bershire Lane North, Minneapolis, Minnesota, 55441 USA	QSD7259	Transradial Access Kit	US	壯生醫療器材股份有限公司	Y	2016-01-29	
Greatbatch Medical	2300 Bershire Lane North, Minneapolis, Minnesota, 55441 USA	QSD7259	Trocar等3項。	US	英商壯生和壯生(香港)股份有限公司台灣分公司	Y	2016-01-29	
Greatbatch Medical	2300 Bershire Lane North, Minneapolis, Minnesota, 55441 USA	QSD7259	Trocar等3項。	US	壯生醫療器材股份有限公司	Y	2016-01-29	
Alltech Medical Systems, LLC	201 Tian Qin Road, High-Tech Industrial Zone(West Park) 611731 Chengdu City, Sichuan Province, China	QSD7260	Magnetic resonance imaging systems and accessories等乙項。	CN	費曼科技股份有限公司	Y	2016-01-24	
Cambridge Medical Aesthetics Limited	Unit 93, 28-29 Maxwell Road, Peterborough PE2 7JE, Cambridgeshire, U.K.	QSD7261	Uma Jeunesse等乙項。	GB	妮傲絲翠股份有限公司	Y	2016-01-25	
Microline Surgical, Inc.	800 Cummings Center, Suite 166T & 157X, Beverly, MA, 01915, U.S.A.	QSD7262	Electrosurgical cutting and coagulation device and accessories等乙項。	US	承羿有限公司	Y	2016-01-25	
Endo Optiks, Inc.	39 Sycamore Avenue, Little Silver, New Jersey 07739, U.S.A.	QSD7263	Ophthalmic Laser	US	科林儀器股份有限公司	Y	2016-03-07	
Endo Optiks, Inc.	39 Sycamore Avenue, Little Silver, New Jersey 07739, U.S.A.	QSD7263	Endoscope and Accessories(Non-Sterile)等2項。	US	科林儀器股份有限公司	Y	2016-03-07	
DiaSys Diagnostic Systems GmbH	Alte Straβe 9, 65558 Holzheim, Germany	QSD7264	Alanine Amino Transferase (ALT/SGPT) Test System	DE	東研實業股份有限公司	Y	2016-03-22	
DiaSys Diagnostic Systems GmbH	Alte Straβe 9, 65558 Holzheim, Germany	QSD7264	Albumin Test System	DE	東研實業股份有限公司	Y	2016-03-22	
DiaSys Diagnostic Systems GmbH	Alte Straβe 9, 65558 Holzheim, Germany	QSD7264	Alkaline Phosphatase or Isoenzymes Test System	DE	東研實業股份有限公司	Y	2016-03-22	
DiaSys Diagnostic Systems GmbH	Alte Straβe 9, 65558 Holzheim, Germany	QSD7264	Asparate Amino Transferase (AST/SGOT) Test System	DE	東研實業股份有限公司	Y	2016-03-22	
DiaSys Diagnostic Systems GmbH	Alte Straβe 9, 65558 Holzheim, Germany	QSD7264	Analyte Specific Reagents	DE	東研實業股份有限公司	Y	2016-03-22	
DiaSys Diagnostic Systems GmbH	Alte Straβe 9, 65558 Holzheim, Germany	QSD7264	Bicarbonate/Carbon Dioxide Test System	DE	東研實業股份有限公司	Y	2016-03-22	
DiaSys Diagnostic Systems GmbH	Alte Straβe 9, 65558 Holzheim, Germany	QSD7264	Bilirubin (Total or Direct) Test System	DE	東研實業股份有限公司	Y	2016-03-22	
DiaSys Diagnostic Systems GmbH	Alte Straβe 9, 65558 Holzheim, Germany	QSD7264	Calcium Test System	DE	東研實業股份有限公司	Y	2016-03-22	
DiaSys Diagnostic Systems GmbH	Alte Straβe 9, 65558 Holzheim, Germany	QSD7264	Chloride Test System	DE	東研實業股份有限公司	Y	2016-03-22	
DiaSys Diagnostic Systems GmbH	Alte Straβe 9, 65558 Holzheim, Germany	QSD7264	Cholesterol (Total) Test System	DE	東研實業股份有限公司	Y	2016-03-22	
DiaSys Diagnostic Systems GmbH	Alte Straβe 9, 65558 Holzheim, Germany	QSD7264	Cholinesterase Test System	DE	東研實業股份有限公司	Y	2016-03-22	
DiaSys Diagnostic Systems GmbH	Alte Straβe 9, 65558 Holzheim, Germany	QSD7264	Creatine Phosphokinase/Creatine Kinase or Isoenzymes Test System	DE	東研實業股份有限公司	Y	2016-03-22	
DiaSys Diagnostic Systems GmbH	Alte Straβe 9, 65558 Holzheim, Germany	QSD7264	Creatinine Test System	DE	東研實業股份有限公司	Y	2016-03-22	
DiaSys Diagnostic Systems GmbH	Alte Straβe 9, 65558 Holzheim, Germany	QSD7264	Alcohol Test System	DE	東研實業股份有限公司	Y	2016-03-22	
DiaSys Diagnostic Systems GmbH	Alte Straβe 9, 65558 Holzheim, Germany	QSD7264	Gamma-Glutamyl Transpeptidase and Isoenzymes Test System	DE	東研實業股份有限公司	Y	2016-03-22	
DiaSys Diagnostic Systems GmbH	Alte Straβe 9, 65558 Holzheim, Germany	QSD7264	Glutathione Test System	DE	東研實業股份有限公司	Y	2016-03-22	
DiaSys Diagnostic Systems GmbH	Alte Straβe 9, 65558 Holzheim, Germany	QSD7264	Glucose Test System	DE	東研實業股份有限公司	Y	2016-03-22	
DiaSys Diagnostic Systems GmbH	Alte Straβe 9, 65558 Holzheim, Germany	QSD7264	Lipoprotein Test System	DE	東研實業股份有限公司	Y	2016-03-22	
DiaSys Diagnostic Systems GmbH	Alte Straβe 9, 65558 Holzheim, Germany	QSD7264	Glycosylated Hemoglobin Assay	DE	東研實業股份有限公司	Y	2016-03-22	
DiaSys Diagnostic Systems GmbH	Alte Straβe 9, 65558 Holzheim, Germany	QSD7264	Urinary Homocystine (Nonquantitative) Test System	DE	東研實業股份有限公司	Y	2016-03-22	
DiaSys Diagnostic Systems GmbH	Alte Straβe 9, 65558 Holzheim, Germany	QSD7264	Iron (Non-Heme) Test System	DE	東研實業股份有限公司	Y	2016-03-22	
DiaSys Diagnostic Systems GmbH	Alte Straβe 9, 65558 Holzheim, Germany	QSD7264	Lactate Dehydrogenase Test System	DE	東研實業股份有限公司	Y	2016-03-22	
DiaSys Diagnostic Systems GmbH	Alte Straβe 9, 65558 Holzheim, Germany	QSD7264	Lipase Test System	DE	東研實業股份有限公司	Y	2016-03-22	
DiaSys Diagnostic Systems GmbH	Alte Straβe 9, 65558 Holzheim, Germany	QSD7264	Magnesium Test System	DE	東研實業股份有限公司	Y	2016-03-22	
DiaSys Diagnostic Systems GmbH	Alte Straβe 9, 65558 Holzheim, Germany	QSD7264	Fatty Acids Test System	DE	東研實業股份有限公司	Y	2016-03-22	
DiaSys Diagnostic Systems GmbH	Alte Straβe 9, 65558 Holzheim, Germany	QSD7264	Ammonia Test System	DE	東研實業股份有限公司	Y	2016-03-22	
DiaSys Diagnostic Systems GmbH	Alte Straβe 9, 65558 Holzheim, Germany	QSD7264	Phosphorus (Inorganic) Test System	DE	東研實業股份有限公司	Y	2016-03-22	
DiaSys Diagnostic Systems GmbH	Alte Straβe 9, 65558 Holzheim, Germany	QSD7264	Amylase Test System	DE	東研實業股份有限公司	Y	2016-03-22	
DiaSys Diagnostic Systems GmbH	Alte Straβe 9, 65558 Holzheim, Germany	QSD7264	Total Protein Test System	DE	東研實業股份有限公司	Y	2016-03-22	
DiaSys Diagnostic Systems GmbH	Alte Straβe 9, 65558 Holzheim, Germany	QSD7264	Triglyceride Test System	DE	東研實業股份有限公司	Y	2016-03-22	
DiaSys Diagnostic Systems GmbH	Alte Straβe 9, 65558 Holzheim, Germany	QSD7264	Iron-Binding Capacity Test System	DE	東研實業股份有限公司	Y	2016-03-22	
DiaSys Diagnostic Systems GmbH	Alte Straβe 9, 65558 Holzheim, Germany	QSD7264	Urea Nitrogen Test System	DE	東研實業股份有限公司	Y	2016-03-22	
DiaSys Diagnostic Systems GmbH	Alte Straβe 9, 65558 Holzheim, Germany	QSD7264	Uric Acid Test System	DE	東研實業股份有限公司	Y	2016-03-22	
DiaSys Diagnostic Systems GmbH	Alte Straβe 9, 65558 Holzheim, Germany	QSD7264	Hydroxybutyric Dehydrogenase Test System	DE	東研實業股份有限公司	Y	2016-03-22	
DiaSys Diagnostic Systems GmbH	Alte Straβe 9, 65558 Holzheim, Germany	QSD7264	Albumin Immunological Test System	DE	東研實業股份有限公司	Y	2016-03-22	
DiaSys Diagnostic Systems GmbH	Alte Straβe 9, 65558 Holzheim, Germany	QSD7264	Streptococcus Spp. Exoenzyme Reagents	DE	東研實業股份有限公司	Y	2016-03-22	
DiaSys Diagnostic Systems GmbH	Alte Straβe 9, 65558 Holzheim, Germany	QSD7264	C-Reactive Protein Immunological Test System	DE	東研實業股份有限公司	Y	2016-03-22	
DiaSys Diagnostic Systems GmbH	Alte Straβe 9, 65558 Holzheim, Germany	QSD7264	Rheumatoid Factor Immunological Test System	DE	東研實業股份有限公司	Y	2016-03-22	
DiaSys Diagnostic Systems GmbH	Alte Straβe 9, 65558 Holzheim, Germany	QSD7264	Complement Components Immunological Test System	DE	東研實業股份有限公司	Y	2016-03-22	
DiaSys Diagnostic Systems GmbH	Alte Straβe 9, 65558 Holzheim, Germany	QSD7264	Fibrinogen/Fibrin Degradation Products Assay	DE	東研實業股份有限公司	Y	2016-03-22	
DiaSys Diagnostic Systems GmbH	Alte Straβe 9, 65558 Holzheim, Germany	QSD7264	Ferritin Immunological Test System	DE	東研實業股份有限公司	Y	2016-03-22	
DiaSys Diagnostic Systems GmbH	Alte Straβe 9, 65558 Holzheim, Germany	QSD7264	Immunoglobulins A, G, M, D, and E Immunological Test System	DE	東研實業股份有限公司	Y	2016-03-22	
DiaSys Diagnostic Systems GmbH	Alte Straβe 9, 65558 Holzheim, Germany	QSD7264	Myoglobin Immunological Test System	DE	東研實業股份有限公司	Y	2016-03-22	
DiaSys Diagnostic Systems GmbH	Alte Straβe 9, 65558 Holzheim, Germany	QSD7264	Prealbumin Immunological Test System	DE	東研實業股份有限公司	Y	2016-03-22	
DiaSys Diagnostic Systems GmbH	Alte Straβe 9, 65558 Holzheim, Germany	QSD7264	Transferrin Immunological Test System	DE	東研實業股份有限公司	Y	2016-03-22	
DiaSys Diagnostic Systems GmbH	Alte Straβe 9, 65558 Holzheim, Germany	QSD7264	Calibrator	DE	東研實業股份有限公司	Y	2016-03-22	
DiaSys Diagnostic Systems GmbH	Alte Straβe 9, 65558 Holzheim, Germany	QSD7264	Quality Control Material (Assayed and Unassayed)等47項。	DE	東研實業股份有限公司	Y	2016-03-22	
Vistamed Limited	IDA Business & Technology Park Carrick-on-Shannon County Leitrim, Ireland	QSD7265	Cardiovascular stent等乙項。	IE	埃默高有限公司	Y	2016-03-06	
DOCERAM Medical Ceramics GmbH	Hesslingsweg 65-67 D-44309 Dortmund, Germany	QSD7266	Porcelain powder for clinical use等乙項。	DE	旭達生技股份有限公司	Y	2016-03-18	
Gambro Renal Products, Inc.	1101 Jeter Avenue, Opelika, AL 36801, U.S.A.	QSD7267	High Permeability Hemodialysis System等乙項。	US	衛寶股份有限公司	Y	2016-04-16	
Immunotech s.r.o.	Radiova 1, 10227 Prague 10, Czech Republic	QSD7268	Luteinizing hormone test system	CZ	美商貝克曼庫爾特有限公司台灣分公司	Y	2016-12-23	
Immunotech s.r.o.	Radiova 1, 10227 Prague 10, Czech Republic	QSD7268	Follicle-stimulating hormone test system	CZ	美商貝克曼庫爾特有限公司台灣分公司	Y	2016-12-23	
Immunotech s.r.o.	Radiova 1, 10227 Prague 10, Czech Republic	QSD7268	Albumin immunological test system	CZ	美商貝克曼庫爾特有限公司台灣分公司	Y	2016-12-23	
Immunotech s.r.o.	Radiova 1, 10227 Prague 10, Czech Republic	QSD7268	Prolactin (lactogen) test system	CZ	美商貝克曼庫爾特有限公司台灣分公司	Y	2016-12-23	
Immunotech s.r.o.	Radiova 1, 10227 Prague 10, Czech Republic	QSD7268	Thyroid stimulating hormone test system	CZ	美商貝克曼庫爾特有限公司台灣分公司	Y	2016-12-23	
Immunotech s.r.o.	Radiova 1, 10227 Prague 10, Czech Republic	QSD7268	Calibrator	CZ	美商貝克曼庫爾特有限公司台灣分公司	Y	2016-12-23	
Immunotech s.r.o.	Radiova 1, 10227 Prague 10, Czech Republic	QSD7268	Quality control material (assayed and unassayed)	CZ	美商貝克曼庫爾特有限公司台灣分公司	Y	2016-12-23	
Immunotech s.r.o.	Radiova 1, 10227 Prague 10, Czech Republic	QSD7268	Aldosterone test system	CZ	美商貝克曼庫爾特有限公司台灣分公司	Y	2016-12-23	
Immunotech s.r.o.	Radiova 1, 10227 Prague 10, Czech Republic	QSD7268	Androstenedione test system	CZ	美商貝克曼庫爾特有限公司台灣分公司	Y	2016-12-23	
Immunotech s.r.o.	Radiova 1, 10227 Prague 10, Czech Republic	QSD7268	Dehydroepiandrosterone (free and sulfate) test system	CZ	美商貝克曼庫爾特有限公司台灣分公司	Y	2016-12-23	
Immunotech s.r.o.	Radiova 1, 10227 Prague 10, Czech Republic	QSD7268	Estradiol test system	CZ	美商貝克曼庫爾特有限公司台灣分公司	Y	2016-12-23	
Immunotech s.r.o.	Radiova 1, 10227 Prague 10, Czech Republic	QSD7268	17-Hydroxyprogesterone test system	CZ	美商貝克曼庫爾特有限公司台灣分公司	Y	2016-12-23	
Immunotech s.r.o.	Radiova 1, 10227 Prague 10, Czech Republic	QSD7268	Testosterone test system	CZ	美商貝克曼庫爾特有限公司台灣分公司	Y	2016-12-23	
Immunotech s.r.o.	Radiova 1, 10227 Prague 10, Czech Republic	QSD7268	Free thyroxine test system	CZ	美商貝克曼庫爾特有限公司台灣分公司	Y	2016-12-23	
Immunotech s.r.o.	Radiova 1, 10227 Prague 10, Czech Republic	QSD7268	Total thyroxine test system	CZ	美商貝克曼庫爾特有限公司台灣分公司	Y	2016-12-23	
Immunotech s.r.o.	Radiova 1, 10227 Prague 10, Czech Republic	QSD7268	Total triiodothyronine test system	CZ	美商貝克曼庫爾特有限公司台灣分公司	Y	2016-12-23	
Immunotech s.r.o.	Radiova 1, 10227 Prague 10, Czech Republic	QSD7268	Ferritin immunological test system	CZ	美商貝克曼庫爾特有限公司台灣分公司	Y	2016-12-23	
Immunotech s.r.o.	Radiova 1, 10227 Prague 10, Czech Republic	QSD7268	Tumor-associated antigen immunological test system	CZ	美商貝克曼庫爾特有限公司台灣分公司	Y	2016-12-23	
Immunotech s.r.o.	Radiova 1, 10227 Prague 10, Czech Republic	QSD7268	Progesterone test system	CZ	美商貝克曼庫爾特有限公司台灣分公司	Y	2016-12-23	
Immunotech s.r.o.	Radiova 1, 10227 Prague 10, Czech Republic	QSD7268	Immunoreactive insulin test system等20項。	CZ	美商貝克曼庫爾特有限公司台灣分公司	Y	2016-12-23	
Panadent Corporation	580 S. Rancho Avenue, Colton, Ca92324, U.S.A.	QSD7269	FACE-BOW(Non-Sterile)等乙項。	US	登特美國際有限公司	Y	2016-02-08	
TriPath Imaging, Inc.	1022 Corporate Park Drive, Mebane, North Carolina 27302, U.S.A.	QSD7270	Reader, Cervical Cytology slide, Automated	US	新加坡商必帝股份有限公司台灣分公司	Y	2016-02-04	
TriPath Imaging, Inc.	1022 Corporate Park Drive, Mebane, North Carolina 27302, U.S.A.	QSD7270	Processor, Cervical Cytology Slide, Automated等2項。	US	新加坡商必帝股份有限公司台灣分公司	Y	2016-02-04	
Quidel Corporation	10165 Mckellar Court, San Diego, California 92121, U.S.A.	QSD7271	Chlamydia Serological Reagents(Non-Sterile)	US	保吉生化學股份有限公司	Y	2016-01-31	
Quidel Corporation	10165 Mckellar Court, San Diego, California 92121, U.S.A.	QSD7271	Helicobacter Spp. Serological Reagents(Non-Sterile)	US	保吉生化學股份有限公司	Y	2016-01-31	
Quidel Corporation	10165 Mckellar Court, San Diego, California 92121, U.S.A.	QSD7271	Influenza Virus Serological Reagents(Non-Sterile)	US	保吉生化學股份有限公司	Y	2016-01-31	
Quidel Corporation	10165 Mckellar Court, San Diego, California 92121, U.S.A.	QSD7271	Human Chorionic Gonadotropin (HCG) Test System	US	保吉生化學股份有限公司	Y	2016-01-31	
Quidel Corporation	10165 Mckellar Court, San Diego, California 92121, U.S.A.	QSD7271	Streptococcus Spp. Serological Reagents(Non-Sterile)	US	保吉生化學股份有限公司	Y	2016-01-31	
Quidel Corporation	10165 Mckellar Court, San Diego, California 92121, U.S.A.	QSD7271	Respiratory Syncytial Virus Serological Reagents(Non-Sterile)	US	保吉生化學股份有限公司	Y	2016-01-31	
Quidel Corporation	10165 Mckellar Court, San Diego, California 92121, U.S.A.	QSD7271	Occult Blood Test	US	保吉生化學股份有限公司	Y	2016-01-31	
Quidel Corporation	10165 Mckellar Court, San Diego, California 92121, U.S.A.	QSD7271	Infectious Mononucleosis Immunological Test System	US	保吉生化學股份有限公司	Y	2016-01-31	
Quidel Corporation	10165 Mckellar Court, San Diego, California 92121, U.S.A.	QSD7271	Fluorometer for Clinical Use等9項。	US	保吉生化學股份有限公司	Y	2016-01-31	
Small Bone Innovations Inc.	1380 S. Pennsylvania Ave. Morrisville, PA 19067, U.S.A.	QSD7272	Elbow joint metal / polymer semi-constrained cemented prosthesis	US	韶田股份有限公司	Y	2016-03-15	
Small Bone Innovations Inc.	1380 S. Pennsylvania Ave. Morrisville, PA 19067, U.S.A.	QSD7272	Wrist joint metal/polymer semi-constrained cemented prosthesis	US	韶田股份有限公司	Y	2016-03-15	
Small Bone Innovations Inc.	1380 S. Pennsylvania Ave. Morrisville, PA 19067, U.S.A.	QSD7272	Wrist joint ulnar(hemi-wrist) polymer prosthesis)	US	韶田股份有限公司	Y	2016-03-15	
Small Bone Innovations Inc.	1380 S. Pennsylvania Ave. Morrisville, PA 19067, U.S.A.	QSD7272	Finger joint polymer constrained prosthesis	US	韶田股份有限公司	Y	2016-03-15	
Small Bone Innovations Inc.	1380 S. Pennsylvania Ave. Morrisville, PA 19067, U.S.A.	QSD7272	Ankle joint metal/ polymer  non-constrained non cemented prosthesis等5項。	US	韶田股份有限公司	Y	2016-03-15	
Vision Science Co., Ltd.	#1092-7, Buksa-ri, Jain-myeon, Gyeongsan-si, Gyeongsangbuk-do, 712-852, Korea	QSD7273	Soft (hydrophilic) contact lens等乙項。	KR	永勝光學股份有限公司	Y	2016-02-05	
MCI Manufacturing	IDA Business& Technology Park, Dublin Road, Athlone, Co. Westmeath, Ireland	QSD7274	Canisters, accessories for powered suction pump	IE	漢佑股份有限公司	Y	2016-02-08	
MCI Manufacturing	IDA Business& Technology Park, Dublin Road, Athlone, Co. Westmeath, Ireland	QSD7274	Hydrophilic wound dressing	IE	漢佑股份有限公司	Y	2016-02-08	
MCI Manufacturing	IDA Business& Technology Park, Dublin Road, Athlone, Co. Westmeath, Ireland	QSD7274	Powered suction pump等3項。	IE	漢佑股份有限公司	Y	2016-02-08	
Fujirebio Diagnostics AB	Elof Lindälvs gata 13, SE-414 58 Göteborg Sweden	QSD7275	Quality control material(assayed and unassayed)等乙項。	SE	英商壯生和壯生香港股份有限公司台灣分公司	Y	2016-02-23	
Fujirebio Diagnostics AB	Elof Lindälvs gata 13, SE-414 58 Göteborg Sweden	QSD7275	Quality control material(assayed and unassayed)等乙項。	SE	台灣大昌華嘉股份有限公司	Y	2016-02-23	
Atten Electronic(Dongguan) Co., Ltd.	188 Industrial District, Ping Shan Administrative District, Tang Shia Town, Dongguan, Guangdong, China	QSD7276	Blood pressure cuff	CN	亞弘電科技股份有限公司	Y	2016-02-07	
Atten Electronic(Dongguan) Co., Ltd.	188 Industrial District, Ping Shan Administrative District, Tang Shia Town, Dongguan, Guangdong, China	QSD7276	Noninvasive blood pressure measurement system等2項。	CN	亞弘電科技股份有限公司	Y	2016-02-07	
DIOTECH CO., Ltd.	488-7, GoeJeong-dong. Saha-gu, Pusan, 604-812, Korea	QSD7277	Laser urgical instrument for use in general and plastic surgery and in dermatology	KR	世傳貿易有限公司	Y	2016-03-06	
DIOTECH CO., Ltd.	488-7, GoeJeong-dong. Saha-gu, Pusan, 604-812, Korea	QSD7277	Fiberoptic oximeter catheter等2項。	KR	世傳貿易有限公司	Y	2016-03-06	
UTI Co., Ltd.	(Gwangmyeong TechnoPark, Soha-dong) #1306, #1307, #1313, E-dong, 60, Haan-ro, Gwangmyeong-si, Gyeonggi-do, 423-795 Korea	QSD7278	Laser Surgical Instrument for Use in General and Plastic Surgery and in Dermatology等乙項。	KR	優擎科技有限公司	Y	2016-02-07	
Dotolo Research Corporation	3731 E. LaSalle St., Suite 1, Phoenix, AZ 85040, U.S.A.	QSD7279	Colonic Irrigation System等乙項。	US	珉耼企業有限公司	Y	2016-03-08	
Tecan Austria GmbH	Untersbergstraβe 1a AT-5082 Grödig Austria	QSD7280	Colorimeter, photometer, or spectrophotometer for clinical use等乙項。	AT	新科化實業有限公司	Y	2016-02-08	
Biosensors Europe SA	Rue de Lausanne 29, CH-1110 Morges Switzerland	QSD7281	Cardiovascular Stent等乙項。	CH	德俐行企業有限公司	Y	2016-02-08	
Hemedex Inc.	222 Third Street, Suite T123 Cambridge MA 02124, U.S.A.	QSD7282	Perfusion monitor system and accessories等乙項。	US	美麗康國際有限公司	Y	2016-03-01	
Delta Green(Tianjin) Industrial Co., Ltd.	168, No.15. Coastal Way Tianjin Port Free Trade Zone, Tianjin, China	QSD7283	Blood glucose meter等乙項。	CN	達爾生技股份有限公司	Y	2016-02-23	
X-Cel Contacts	2775 Premire Pkwy., Ste. 600, Duluth, Georgia 30097, U.S.A.	QSD7284	Rigid Gas Permeable Contact Lens	US	晶元國際貿易有限公司	Y	2016-02-22	
X-Cel Contacts	2775 Premire Pkwy., Ste. 600, Duluth, Georgia 30097, U.S.A.	QSD7284	Soft (Hydrophilic) Contact Lens等2項。	US	晶元國際貿易有限公司	Y	2016-02-22	
Dako North America, Inc.	6392 Via Real, Carpinteria, CA 93013, U.S.A.	QSD7285	Dye and Chemical Solution Stains	US	成信新貿易股份有限公司	Y	2016-03-13	
Dako North America, Inc.	6392 Via Real, Carpinteria, CA 93013, U.S.A.	QSD7285	Immunohistochemistry Reagents and Kits	US	成信新貿易股份有限公司	Y	2016-03-13	
Dako North America, Inc.	6392 Via Real, Carpinteria, CA 93013, U.S.A.	QSD7285	Analyte Specific Reagents	US	成信新貿易股份有限公司	Y	2016-03-13	
Dako North America, Inc.	6392 Via Real, Carpinteria, CA 93013, U.S.A.	QSD7285	Enzyme Preparations	US	成信新貿易股份有限公司	Y	2016-03-13	
Dako North America, Inc.	6392 Via Real, Carpinteria, CA 93013, U.S.A.	QSD7285	Automated Cell-Locating Device	US	成信新貿易股份有限公司	Y	2016-03-13	
Dako North America, Inc.	6392 Via Real, Carpinteria, CA 93013, U.S.A.	QSD7285	Red Cell Lysing Reagent等6項。	US	成信新貿易股份有限公司	Y	2016-03-13	
Pendracare International B.V.	Van der Waalspark 22, 9351 VC Leek, The Netherlands	QSD7286	Percutaneous catheter等乙項。	NL	荷商波士頓科技有限公司台灣分公司	Y	2016-03-06	
Medical Concepts Europe B.V.	Oost-Om 54, 5422 VZ Gemert, The Netherlands	QSD7287	Pacemaker Lead Adaptor	NL	台灣亞衛有限公司	Y	2016-04-03	
Medical Concepts Europe B.V.	Oost-Om 54, 5422 VZ Gemert, The Netherlands	QSD7287	Cardiovascular Permanent or Temporary Pacemaker Electrode等2項。	NL	台灣亞衛有限公司	Y	2016-04-03	
Aerogen Ltd.	Galway Business Park Dangan Galway, Ireland	QSD7288	Nebulizer等乙項。	IE	台灣飛利浦股份有限公司	Y	2016-02-18	
CROMA GmbH	Industriezeile 6, 2100 Leobendorf, Austria	QSD7289	Hyaluronic Acid Implants等乙項。	AT	沃醫學有限公司	Y	2016-03-06	
Flight Medical Innovations Ltd.	13 Hamelacha St. Lod 71520, Israel	QSD7290	Continuous ventilator 等乙項。	IL	嘉杏股份有限公司	Y	2016-03-08	
Natus Neurology Incorporated	1850 Deming Way, Middleton WI53562, U.S.A.	QSD7291	Electroencephalograph	US	鑫霸企業股份有限公司	Y	2016-02-27	
Natus Neurology Incorporated	1850 Deming Way, Middleton WI53562, U.S.A.	QSD7291	Diagnostic Electromyography	US	鑫霸企業股份有限公司	Y	2016-02-27	
Natus Neurology Incorporated	1850 Deming Way, Middleton WI53562, U.S.A.	QSD7291	Diagnostic Electromyograph Needle Electrode	US	鑫霸企業股份有限公司	Y	2016-02-27	
Natus Neurology Incorporated	1850 Deming Way, Middleton WI53562, U.S.A.	QSD7291	Cortical Electrode	US	鑫霸企業股份有限公司	Y	2016-02-27	
Natus Neurology Incorporated	1850 Deming Way, Middleton WI53562, U.S.A.	QSD7291	Ultrasonic Pulsed Doppler Imaging System	US	鑫霸企業股份有限公司	Y	2016-02-27	
Natus Neurology Incorporated	1850 Deming Way, Middleton WI53562, U.S.A.	QSD7291	等5項。	US	鑫霸企業股份有限公司	Y	2016-02-27	
Croma-Pharma Gesellschaft m.b.H	Industriezeile 6, 2100 Leobendorf, Austria	QSD7292	Intraarticular hyaluronic acid implants等乙項。	AT	沃醫學有限公司	Y	2016-04-01	
Smiths Medical International Ltd.	52 Grayshill Road, Cumbernauld, Glasgow G68 9HQ, United Kingdom	QSD7293	Anesthesia Conduction Kit	GB	誼昇有限公司	Y	2016-02-23	
Smiths Medical International Ltd.	52 Grayshill Road, Cumbernauld, Glasgow G68 9HQ, United Kingdom	QSD7293	Tracheostomy Tube and Tube Cuff等2項。	GB	誼昇有限公司	Y	2016-02-23	
Boston Scientific Cork Limited	Business & Technology Park, Model Farm Road, Cork, Ireland	QSD7294	Catheter Guide Wire等乙項。	IE	荷商波士頓科技有限公司台灣分公司	Y	2016-03-29	
Boston Scientific Limited	Business & Technology Park, Model Farm Road, Cork, Ireland	QSD7294	Catheter Guide Wire等乙項。	IE	荷商波士頓科技有限公司台灣分公司	Y	2016-03-29	
Seoil Pacific Corp.	Rm. 515, 516 Ace High-End Tower, 235-2, Guro-dong, Guro-gu, Seoul, Korea	QSD7295	Noncontinuous ventilator (IPPB)等乙項。	KR	嘉杏股份有限公司	Y	2016-02-23	
GLDTEK Co. Ltd.	#207-1 Chungnam TP Display Center, Dongam-ri, Eumbong-Myeon, Asan Si, Chungcheongnam- do, Korea	QSD7296	Infrared lamp等乙項。	KR	馬來西亞商科士威有限公司台灣分公司	Y	2016-03-22	
Dynex Technologies Inc.	14340 Sullyfield Circle, Chantilly VA 20151, U.S.A.	QSD7297	Enzyme Analyzer for Clinical Use等乙項。	US	美艾利爾健康股份有限公司	Y	2016-03-18	
SMC Costa Rica Div. S.R.L	Multitenant 5, Building B13, Calle 4, Zona Franca Coyol, E1 Coyol, Alajuela, Costa Rica	QSD7298	Syringe needle introducer 等乙項。	CR	美敦力醫療產品股份有限公司	Y	2016-03-25	
Benetech Inc.	180 Bloor St. W, Suite 500, Toronto, ON M5S 2V6, Canada	QSD7299	Benetech prenatal risk assessment software等乙項。	CA	美商貝克曼庫爾特有限公司台灣分公司	Y	2016-03-01	
Pendracare International B.V.	Van der Waalspark 22, 9351 VC Leek, The Netherlands	QSD7300	Diagnostic Intravascular Catheter	NL	台灣柏朗股份有限公司	Y	2016-03-13	
